Handle,Title,Body (HTML),Variant SKU,Variant Price,Image Src,Cost per item,Variant Image,Variant Fulfillment Service,Variant Inventory Policy,Variant Inventory Tracker,Google Shopping / Gender,Type,Vendor,Tags,Status,Published,product.metafields.custom.original_prodect_url
"brown_pilot_men's_sunglasses","Versace, Brown Pilot Men's Sunglasses","Versace Sunglasses. Series number: VE2252. Color code: 147073. Shape: Pilot. Lens Width: 63 mm. Lens Bridge: 12 mm. Arm Length: 145 mm. 100% UV protection. Frame Material: Metal. Frame Color: Gold. Lenses Type: Brown. Rim Style: Full-Rim. UPC/EAN code: 8056597729987. Versace Brown Pilot Men's Sunglasses VE2252 147073 63. <br><br>Manufacturer's Packaging Included. Packaging Size And Color May Vary.","VE2252 147073 63","812","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/v/e/versace-brown-pilot-mens-sunglasses-ve2252-147073-63.jpg?width=546&height=546","624.71","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/v/e/versace-brown-pilot-mens-sunglasses-ve2252-147073-63.jpg?width=546&height=546","manual","deny","shopify","male","USA Products","Joma Shop","Mens, Sunglasses, Versace Sunglasses","Active","TRUE","https://www.jomashop.com/versace-brown-pilot-mens-sunglasses-ve2252-147073-63.html"
"brown_pilot_men's_sunglasses","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/v/e/versace-brown-pilot-mens-sunglasses-ve2252-147073-63_2_full-bleed.jpg?width=546&height=546","","","","","","","","","","","",""
"brown_pilot_men's_sunglasses","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/v/e/versace-brown-pilot-mens-sunglasses-ve2252-147073-63_3.jpg?width=546&height=546","","","","","","","","","","","",""
"brown_pilot_men's_sunglasses","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/v/e/versace-brown-pilot-mens-sunglasses-ve2252-147073-63_4.jpg?width=546&height=546","","","","","","","","","","","",""
"brown_pilot_men's_sunglasses","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/v/e/versace-brown-pilot-mens-sunglasses-ve2252-147073-63_5.jpg?width=546&height=546","","","","","","","","","","","",""
"brown_pilot_men's_sunglasses","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/v/e/versace-brown-pilot-mens-sunglasses-ve2252-147073-63_10.jpg?width=546&height=546","","","","","","","","","","","",""
"grey_rectangular_men's_sunglasses","Philipp Plein, Grey Rectangular Men's Sunglasses","Philipp Plein Sunglasses. Series number: SPP044M. Color code: 809X. Shape: Rectangular. Lens Width: 53 mm. Lens Bridge: 18 mm. Arm Length: 145 mm. 100% UV protection. Non-Polarized. Frame Material: Acetate. Frame Color: Black Havana. Lenses Type: Grey. Rim Style: Full-Rim. UPC/EAN code: 190605391624. Philipp Plein Grey Rectangular Men's Sunglasses SPP044M 809X 53. <br><br>Manufacturer's Packaging Included. Packaging Size And Color May Vary.","SPP044M 809X 53","812","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/p/h/philipp-plein-grey-rectangular-mens-sunglasses-spp044m-809x-53.jpg?width=546&height=546","624.71","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/p/h/philipp-plein-grey-rectangular-mens-sunglasses-spp044m-809x-53.jpg?width=546&height=546","manual","deny","shopify","male","USA Products","Joma Shop","Mens, Sunglasses, Philipp Plein","Active","TRUE","https://www.jomashop.com/philipp-plein-grey-rectangular-mens-sunglasses-spp044m-809x-53.html"
"grey_rectangular_men's_sunglasses","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/p/h/philipp-plein-grey-rectangular-mens-sunglasses-spp044m-809x-53_2.jpg?width=546&height=546","","","","","","","","","","","",""
"grey_rectangular_men's_sunglasses","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/p/h/philipp-plein-grey-rectangular-mens-sunglasses-spp044m-809x-53_3.jpg?width=546&height=546","","","","","","","","","","","",""
"grey_rectangular_men's_sunglasses","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/p/h/philipp-plein-grey-rectangular-mens-sunglasses-spp044m-809x-53_4.jpg?width=546&height=546","","","","","","","","","","","",""
"lorna_light_brown_mirror_shield_men's_sunglasses","Tom Ford, Lorna Light Brown Mirror Shield Men's Sunglasses","Tom Ford Sunglasses. Series Lorna. Series number: FT1121. Color code: 01G. Shape: Shield. Lens Width: 00 mm. Arm Length: 130 mm. 100% UV protection. Non-Polarized. Frame Material: Plastic. Frame Color: Black. Lenses Type: Light Brown Mirror. Rim Style: Full-Rim. UPC/EAN code: 889214476579. Tom Ford Lorna Light Brown Mirror Shield Men's Sunglasses FT1121 01G 00. <br><br>Manufacturer's Packaging Included. Packaging Size And Color May Vary.","FT1121 01G 00","859","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/t/o/tom-ford-lorna-light-brown-mirror-shield-mens-sunglasses-ft1121-01g-00.jpg?width=546&height=546","661.46","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/t/o/tom-ford-lorna-light-brown-mirror-shield-mens-sunglasses-ft1121-01g-00.jpg?width=546&height=546","manual","deny","shopify","male","USA Products","Joma Shop","Mens, Sunglasses, Tom Ford, Lorna","Active","TRUE","https://www.jomashop.com/tom-ford-sunglasses-ft1121-01g-00.html"
"lorna_light_brown_mirror_shield_men's_sunglasses","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/t/o/tom-ford-lorna-light-brown-mirror-shield-mens-sunglasses-ft1121-01g-00_2_full-bleed.jpg?width=546&height=546","","","","","","","","","","","",""
"lorna_light_brown_mirror_shield_men's_sunglasses","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/t/o/tom-ford-lorna-light-brown-mirror-shield-mens-sunglasses-ft1121-01g-00_3.jpg?width=546&height=546","","","","","","","","","","","",""
"lorna_light_brown_mirror_shield_men's_sunglasses","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/t/o/tom-ford-lorna-light-brown-mirror-shield-mens-sunglasses-ft1121-01g-00_4.jpg?width=546&height=546","","","","","","","","","","","",""
"lorna_light_brown_mirror_shield_men's_sunglasses","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/t/o/tom-ford-lorna-light-brown-mirror-shield-mens-sunglasses-ft1121-01g-00_5.jpg?width=546&height=546","","","","","","","","","","","",""
"light_grey_mirror_silver_rectangular_men's_sunglasses","Dolce & Gabbana, Light Grey Mirror Silver Rectangular Men's Sunglasses","Dolce and Gabbana Sunglasses. Series number: DG4444. Color code: 30906G55. Shape: Rectangular. Lens Width: 55 mm. Lens Bridge: 18 mm. Arm Length: 140 mm. 100% UV protection. Polarized. Frame Material: Acetate. Frame Color: Grey. Lenses Type: Light Grey Mirror Silver. Rim Style: Full-Rim. UPC/EAN code: 8056597895828. Dolce and Gabbana Light Grey Mirror Silver Rectangular Men's Sunglasses DG4444 30906G 55. <br><br>Manufacturer's Packaging Included. Packaging Size And Color May Vary.","DG4444 30906G 55","850","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/d/o/dolce-and-gabbana-light-grey-mirror-silver-rectangular-mens-sunglasses-dg4444-30906g-55.jpg?width=546&height=546","654.11","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/d/o/dolce-and-gabbana-light-grey-mirror-silver-rectangular-mens-sunglasses-dg4444-30906g-55.jpg?width=546&height=546","manual","deny","shopify","male","USA Products","Joma Shop","Mens, Sunglasses, Dolce and Gabbana","Active","TRUE","https://www.jomashop.com/dolce-and-gabbana-light-grey-mirror-silver-rectangular-mens-sunglasses-dg4444-30906g-55.html"
"light_grey_mirror_silver_rectangular_men's_sunglasses","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/d/o/dolce-and-gabbana-light-grey-mirror-silver-rectangular-mens-sunglasses-dg4444-30906g-55_2_full-bleed.jpg?width=546&height=546","","","","","","","","","","","",""
"light_grey_mirror_silver_rectangular_men's_sunglasses","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/d/o/dolce-and-gabbana-light-grey-mirror-silver-rectangular-mens-sunglasses-dg4444-30906g-55_3.jpg?width=546&height=546","","","","","","","","","","","",""
"light_grey_mirror_silver_rectangular_men's_sunglasses","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/d/o/dolce-and-gabbana-light-grey-mirror-silver-rectangular-mens-sunglasses-dg4444-30906g-55_4.jpg?width=546&height=546","","","","","","","","","","","",""
"light_grey_mirror_silver_rectangular_men's_sunglasses","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/d/o/dolce-and-gabbana-light-grey-mirror-silver-rectangular-mens-sunglasses-dg4444-30906g-55_5.jpg?width=546&height=546","","","","","","","","","","","",""
"brown_square_men's_sunglasses","Philipp Plein, Brown Square Men's Sunglasses","Philipp Plein Sunglasses. Series number: SPP042W. Color code: 0722. Shape: Square. Lens Width: 54 mm. Lens Bridge: 23 mm. Arm Length: 145 mm. 100% UV protection. Non-Polarized. Frame Material: Plastic. Frame Color: Dark Havana. Lenses Type: Brown. Rim Style: Full-Rim. UPC/EAN code: 190605392355. Philipp Plein Brown Square Men's Sunglasses SPP042W 0722 54. <br><br>Manufacturer's Packaging Included. Packaging Size And Color May Vary.","SPP042W 0722 54","955","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/p/h/philipp-plein-brown-square-mens-sunglasses-spp042w-0722-54.jpg?width=546&height=546","734.96","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/p/h/philipp-plein-brown-square-mens-sunglasses-spp042w-0722-54.jpg?width=546&height=546","manual","deny","shopify","male","USA Products","Joma Shop","Mens, Sunglasses, Philipp Plein","Active","TRUE","https://www.jomashop.com/philipp-plein-brown-square-mens-sunglasses-spp042w-0722-54.html"
"brown_square_men's_sunglasses","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/p/h/philipp-plein-brown-square-mens-sunglasses-spp042w-0722-54_2_full-bleed.jpg?width=546&height=546","","","","","","","","","","","",""
"brown_square_men's_sunglasses","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/p/h/philipp-plein-brown-square-mens-sunglasses-spp042w-0722-54_3.jpg?width=546&height=546","","","","","","","","","","","",""
"brown_square_men's_sunglasses","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/p/h/philipp-plein-brown-square-mens-sunglasses-spp042w-0722-54_4.jpg?width=546&height=546","","","","","","","","","","","",""
"brown_square_men's_sunglasses","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/p/h/philipp-plein-brown-square-mens-sunglasses-spp042w-0722-54_5.jpg?width=546&height=546","","","","","","","","","","","",""
