Handle,Title,Body (HTML),Variant SKU,Variant Price,Image Src,Cost per item,Variant Image,Variant Fulfillment Service,Variant Inventory Policy,Variant Inventory Tracker,Google Shopping / Gender,Type,Vendor,Tags,Status,Published,product.metafields.custom.original_prodect_url
"grey_sport_men's_sunglasses","Gucci, Grey Sport Men's Sunglasses","Gucci Sunglasses. Series number: GG1897SK. Color code: 001. Shape: Sport. Lens Width: 54 mm. Lens Bridge: 19 mm. Arm Length: 145 mm. 100% UV protection. Non-Polarized. Frame Material: Recycled Acetate;Metal. Frame Color: Black/Gold. Lenses Type: Grey. Rim Style: Full-Rim. UPC/EAN code: 889652525549. Gucci Grey Sport Men's Sunglasses GG1897SK 001 54. <br><br>Manufacturer's Packaging Included. Packaging Size And Color May Vary.","GG1897SK 001 54","1385","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/g/u/gucci-grey-sport-mens-sunglasses-gg1897sk-001-54.jpg?width=546&height=546","1065.71","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/g/u/gucci-grey-sport-mens-sunglasses-gg1897sk-001-54.jpg?width=546&height=546","manual","deny","shopify","male","USA Products","Joma Shop","Mens, Sunglasses, Gucci","Active","TRUE","https://www.jomashop.com/gucci-grey-sport-mens-sunglasses-gg1897sk-001-54.html"
"grey_sport_men's_sunglasses","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/g/u/gucci-grey-sport-mens-sunglasses-gg1897sk-001-54_2.jpg?width=546&height=546","","","","","","","","","","","",""
"grey_sport_men's_sunglasses","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/g/u/gucci-grey-sport-mens-sunglasses-gg1897sk-001-54_3.jpg?width=546&height=546","","","","","","","","","","","",""
"grey_sport_men's_sunglasses","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/g/u/gucci-grey-sport-mens-sunglasses-gg1897sk-001-54_10.jpg?width=546&height=546","","","","","","","","","","","",""
"fletcher_polarized_smoke_square_men's_sunglasses","Tom Ford, Fletcher Polarized Smoke Square Men's Sunglasses","Tom Ford Sunglasses. Series Fletcher. Series number: FT0832. Color code: 01D. Shape: Square. Lens Width: 57 mm. Lens Bridge: 15 mm. Arm Length: 145 mm. 100% UV protection. Polarized. Frame Material: Acetate. Frame Color: Shiny Black. Lenses Type: Polarized Smoke. Rim Style: Full-Rim. UPC/EAN code: 889214550132. Tom Ford Fletcher Polarized Smoke Square Men's Sunglasses FT0832 01D 57. <br><br>Manufacturer's Packaging Included. Packaging Size And Color May Vary.","FT0832 01D 57","1050","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/t/o/tom-ford-fletcher-polarized-smoke-square-mens-sunglasses-ft0832-01d-57.jpg?width=546&height=546","808.46","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/t/o/tom-ford-fletcher-polarized-smoke-square-mens-sunglasses-ft0832-01d-57.jpg?width=546&height=546","manual","deny","shopify","male","USA Products","Joma Shop","Mens, Sunglasses, Tom Ford, Fletcher","Active","TRUE","https://www.jomashop.com/tom-ford-fletcher-polarized-smoke-square-mens-sunglasses-ft0832-01d-57.html"
"dark_grey_pilot_men's_sunglasses","Versace, Dark Grey Pilot Men's Sunglasses","Versace Sunglasses. Series number: VE2252. Color code: 100187. Shape: Pilot. Lens Width: 63 mm. Lens Bridge: 12 mm. Arm Length: 145 mm. 100% UV protection. Frame Material: Metal. Frame Color: Gunmetal. Lenses Type: Dark Grey. Rim Style: Full-Rim. UPC/EAN code: 8056597729956. Versace Dark Grey Pilot Men's Sunglasses VE2252 100187 63. <br><br>Manufacturer's Packaging Included. Packaging Size And Color May Vary.","VE2252 100187 63","812","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/v/e/versace-dark-grey-pilot-mens-sunglasses-ve2252-100187-63.jpg?width=546&height=546","624.71","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/v/e/versace-dark-grey-pilot-mens-sunglasses-ve2252-100187-63.jpg?width=546&height=546","manual","deny","shopify","male","USA Products","Joma Shop","Mens, Sunglasses, Versace Sunglasses","Active","TRUE","https://www.jomashop.com/versace-dark-grey-pilot-mens-sunglasses-ve2252-100187-63.html"
"dark_grey_pilot_men's_sunglasses","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/v/e/versace-dark-grey-pilot-mens-sunglasses-ve2252-100187-63_2.jpg?width=546&height=546","","","","","","","","","","","",""
"dark_grey_pilot_men's_sunglasses","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/v/e/versace-dark-grey-pilot-mens-sunglasses-ve2252-100187-63_3.jpg?width=546&height=546","","","","","","","","","","","",""
"dark_grey_pilot_men's_sunglasses","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/v/e/versace-dark-grey-pilot-mens-sunglasses-ve2252-100187-63_4.jpg?width=546&height=546","","","","","","","","","","","",""
"dark_grey_pilot_men's_sunglasses","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/v/e/versace-dark-grey-pilot-mens-sunglasses-ve2252-100187-63_10.jpg?width=546&height=546","","","","","","","","","","","",""
"grey_navigator_men's_sunglasses","Gucci, Grey Navigator Men's Sunglasses","Gucci Sunglasses. Series number: GG0448S. Color code: 001. Size: 58. Shape: Navigator. Lens Width: 58 mm. Lens Height: 51 mm. Lens Bridge: 16 mm. Arm Length: 145 mm. 100% UV protection. Non-Polarized. Frame Material: Acetate. Frame Color: Black, Dark Ruthenium. Lenses Type: Grey. Rim Style: Full-Rim. UPC/EAN code: 889652201856. Gucci Grey Navigator Men's Sunglasses GG0448S 001 58. <br><br>Manufacturer's Packaging Included. Packaging Size And Color May Vary.","GG0448S 001 58","1433","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/g/u/gucci-grey-navigator-mens-sunglasses-gg0448s-001-58.jpg?width=546&height=546","1102.46","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/g/u/gucci-grey-navigator-mens-sunglasses-gg0448s-001-58.jpg?width=546&height=546","manual","deny","shopify","male","USA Products","Joma Shop","Mens, Sunglasses, Gucci","Active","TRUE","https://www.jomashop.com/gucci-sunglasses-gg0448s-001-58.html"
"grey_navigator_men's_sunglasses","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/g/u/gucci-grey-navigator-mens-sunglasses-gg0448s-001-58_2_full-bleed.jpg?width=546&height=546","","","","","","","","","","","",""
"grey_navigator_men's_sunglasses","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/g/u/gucci-grey-navigator-mens-sunglasses-gg0448s-001-58_3.jpg?width=546&height=546","","","","","","","","","","","",""
"grey_navigator_men's_sunglasses","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/g/u/gucci-grey-navigator-mens-sunglasses-gg0448s-001-58_4.jpg?width=546&height=546","","","","","","","","","","","",""
"grey_navigator_men's_sunglasses","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/g/u/gucci-grey-navigator-mens-sunglasses-gg0448s-001-58_10.jpg?width=546&height=546","","","","","","","","","","","",""
"dark_brown_rectangular_men's_sunglasses","Prada, Dark Brown Rectangular Men's Sunglasses","Prada Sunglasses. Series number: PR 06YS. Color code: 2AU8C1. Shape: Rectangular. Lens Width: 53 mm. Lens Bridge: 21 mm. Arm Length: 145 mm. 100% UV protection. Non-Polarized. Frame Material: Plastic. Frame Color: Tortoise. Lenses Type: Dark Brown. Rim Style: Full-Rim. UPC/EAN code: 8056597517065. Prada Dark Brown Rectangular Men's Sunglasses PR 06YS 2AU8C1 53. <br><br>Manufacturer's Packaging Included. Packaging Size And Color May Vary.","PR 06YS 2AU8C1 53","1289","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/p/r/prada-dark-brown-rectangular-mens-sunglasses-pr-06ys-2au8c1-53_1.jpg?width=546&height=546","992.21","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/p/r/prada-dark-brown-rectangular-mens-sunglasses-pr-06ys-2au8c1-53_1.jpg?width=546&height=546","manual","deny","shopify","male","USA Products","Joma Shop","Mens, Sunglasses, Prada Sunglasses","Active","TRUE","https://www.jomashop.com/prada-dark-brown-rectangular-mens-sunglasses-0pr-06ys-2au8c153.html"
"dark_brown_rectangular_men's_sunglasses","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/p/r/prada-dark-brown-rectangular-mens-sunglasses-pr-06ys-2au8c1-53_2_full-bleed.jpg?width=546&height=546","","","","","","","","","","","",""
"dark_brown_rectangular_men's_sunglasses","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/p/r/prada-dark-brown-rectangular-mens-sunglasses-pr-06ys-2au8c1-53_3.jpg?width=546&height=546","","","","","","","","","","","",""
"dark_brown_rectangular_men's_sunglasses","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/p/r/prada-dark-brown-rectangular-mens-sunglasses-pr-06ys-2au8c1-53_4.jpg?width=546&height=546","","","","","","","","","","","",""
"dark_brown_rectangular_men's_sunglasses","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/p/r/prada-dark-brown-rectangular-mens-sunglasses-pr-06ys-2au8c1-53_10.jpg?width=546&height=546","","","","","","","","","","","",""
"guillaume_roviex_gradient_navigator_men's_sunglasses","Tom Ford, Guillaume Roviex Gradient Navigator Men's Sunglasses","Tom Ford Sunglasses. Series Guillaume. Series number: FT1208. Color code: 52K. Shape: Navigator. Lens Width: 61 mm. Lens Bridge: 12 mm. Arm Length: 140 mm. 100% UV protection. Non-Polarized. Frame Material: Plastic. Frame Color: Dark Havana. Lenses Type: Roviex Gradient. Rim Style: Full-Rim. UPC/EAN code: 889214558541. Tom Ford Guillaume Roviex Gradient Navigator Men's Sunglasses FT1208 52K 61. <br><br>Manufacturer's Packaging Included. Packaging Size And Color May Vary.","FT1208 52K 61","1098","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/t/o/tom-ford-guillaume-roviex-gradient-navigator-mens-sunglasses-ft1208-52k-61_1.jpg?width=546&height=546","845.21","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/t/o/tom-ford-guillaume-roviex-gradient-navigator-mens-sunglasses-ft1208-52k-61_1.jpg?width=546&height=546","manual","deny","shopify","male","USA Products","Joma Shop","Mens, Sunglasses, Tom Ford, Guillaume","Active","TRUE","https://www.jomashop.com/tom-ford-guillaume-roviex-gradient-navigator-mens-sunglasses-ft1208-52k-61.html"
"guillaume_roviex_gradient_navigator_men's_sunglasses","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/t/o/tom-ford-guillaume-roviex-gradient-navigator-mens-sunglasses-ft1208-52k-61_2.jpg?width=546&height=546","","","","","","","","","","","",""
"guillaume_roviex_gradient_navigator_men's_sunglasses","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/t/o/tom-ford-guillaume-roviex-gradient-navigator-mens-sunglasses-ft1208-52k-61_3.jpg?width=546&height=546","","","","","","","","","","","",""
"guillaume_roviex_gradient_navigator_men's_sunglasses","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/t/o/tom-ford-guillaume-roviex-gradient-navigator-mens-sunglasses-ft1208-52k-61_4.jpg?width=546&height=546","","","","","","","","","","","",""
"fausto_green_photochromatic_browline_men's_sunglasses","Tom Ford, Fausto Green Photochromatic Browline Men's Sunglasses","Tom Ford Sunglasses. Series Fausto. Series number: FT0711. Color code: 01N. Shape: Browline. Lens Width: 53 mm. Lens Bridge: 20 mm. Arm Length: 145 mm. 100% UV protection. Non-Polarized. Frame Material: Plastic. Frame Color: Shiny Black. Lenses Type: Green Photochromatic. Rim Style: Full-Rim. UPC/EAN code: 889214551740. Tom Ford Fausto Green Photochromatic Browline Men's Sunglasses FT0711 01N 53. <br><br>Manufacturer's Packaging Included. Packaging Size And Color May Vary.","FT0711 01N 53","1194","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/t/o/tom-ford-fausto-green-photochromatic-browline-mens-sunglasses-ft0711-01n-53.jpg?width=546&height=546","918.71","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/t/o/tom-ford-fausto-green-photochromatic-browline-mens-sunglasses-ft0711-01n-53.jpg?width=546&height=546","manual","deny","shopify","male","USA Products","Joma Shop","Mens, Sunglasses, Tom Ford, Fausto","Active","TRUE","https://www.jomashop.com/tom-ford-fausto-green-photochromatic-browline-mens-sunglasses-ft0711-01n-53.html"
"fausto_green_photochromatic_browline_men's_sunglasses","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/t/o/tom-ford-fausto-green-photochromatic-browline-mens-sunglasses-ft0711-01n-53_2.jpg?width=546&height=546","","","","","","","","","","","",""
"fausto_green_photochromatic_browline_men's_sunglasses","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/t/o/tom-ford-fausto-green-photochromatic-browline-mens-sunglasses-ft0711-01n-53_3.jpg?width=546&height=546","","","","","","","","","","","",""
"snowdon_polarized_smoke_square_men's_sunglasses","Tom Ford, Snowdon Polarized Smoke Square Men's Sunglasses","Tom Ford Sunglasses. Series Snowdon. Series number: FT0237. Color code: 01D. Shape: Square. Lens Width: 50 mm. Lens Bridge: 21 mm. Arm Length: 145 mm. 100% UV protection. Polarized. Frame Material: Plastic. Frame Color: Shiny Black. Lenses Type: Polarized Smoke. Rim Style: Full-Rim. UPC/EAN code: 889214533586. Tom Ford Snowdon Polarized Smoke Square Men's Sunglasses FT0237 01D 50. <br><br>Manufacturer's Packaging Included. Packaging Size And Color May Vary.","FT0237 01D 50","1194","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/t/o/tom-ford-snowdon-polarized-smoke-square-mens-sunglasses-ft0237-01d-50.jpg?width=546&height=546","918.71","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/t/o/tom-ford-snowdon-polarized-smoke-square-mens-sunglasses-ft0237-01d-50.jpg?width=546&height=546","manual","deny","shopify","male","USA Products","Joma Shop","Mens, Sunglasses, Tom Ford, Snowdon","Active","TRUE","https://www.jomashop.com/tom-ford-snowdon-polarized-smoke-square-mens-sunglasses-ft0237-01d-50.html"
"snowdon_polarized_smoke_square_men's_sunglasses","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/t/o/tom-ford-snowdon-polarized-smoke-square-mens-sunglasses-ft0237-01d-50_2_full-bleed.jpg?width=546&height=546","","","","","","","","","","","",""
"snowdon_polarized_smoke_square_men's_sunglasses","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/t/o/tom-ford-snowdon-polarized-smoke-square-mens-sunglasses-ft0237-01d-50_3.jpg?width=546&height=546","","","","","","","","","","","",""
"snowdon_polarized_smoke_square_men's_sunglasses","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/t/o/tom-ford-snowdon-polarized-smoke-square-mens-sunglasses-ft0237-01d-50_4.jpg?width=546&height=546","","","","","","","","","","","",""
"snowdon_polarized_smoke_square_men's_sunglasses","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/t/o/tom-ford-snowdon-polarized-smoke-square-mens-sunglasses-ft0237-01d-50_5.jpg?width=546&height=546","","","","","","","","","","","",""
"ilias_smokeilias_square_men's_sunglasses","Tom Ford, Ilias SmokeIlias Square Men's Sunglasses","Tom Ford Sunglasses. Series Ilias. Series number: FT1154. Color code: 01A. Shape: Square. Lens Width: 50 mm. Lens Bridge: 22 mm. Arm Length: 145 mm. 100% UV protection. Non-Polarized. Frame Material: Plastic. Frame Color: Shiny Black. Lenses Type: SmokeIlias. Rim Style: Full-Rim. UPC/EAN code: 889214520449. Tom Ford Ilias SmokeIlias Square Men's Sunglasses FT1154 01A 50. <br><br>Manufacturer's Packaging Included. Packaging Size And Color May Vary.","FT1154 01A 50","1194","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/t/o/tom-ford-ilias-smokeilias-square-mens-sunglasses-ft1154-01a-50.jpg?width=546&height=546","918.71","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/t/o/tom-ford-ilias-smokeilias-square-mens-sunglasses-ft1154-01a-50.jpg?width=546&height=546","manual","deny","shopify","male","USA Products","Joma Shop","Mens, Sunglasses, Tom Ford, Ilias","Active","TRUE","https://www.jomashop.com/tom-ford-smokeilias-square-mens-sunglasses-ft1154-01a-50.html"
"ilias_smokeilias_square_men's_sunglasses","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/t/o/tom-ford-ilias-smokeilias-square-mens-sunglasses-ft1154-01a-50_2.jpg?width=546&height=546","","","","","","","","","","","",""
"ilias_smokeilias_square_men's_sunglasses","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/t/o/tom-ford-ilias-smokeilias-square-mens-sunglasses-ft1154-01a-50_3.jpg?width=546&height=546","","","","","","","","","","","",""
"yellow_mirror_logo_pilot_men's_sunglasses","Gucci, Yellow Mirror Logo Pilot Men's Sunglasses","Gucci Sunglasses. Series number: GG1677S. Color code: 005. Shape: Pilot. Lens Width: 62 mm. Lens Bridge: 11 mm. Arm Length: 145 mm. 100% UV protection. Non-Polarized. Frame Material: Metal. Frame Color: Shiny Black. Lenses Type: Yellow Mirror Logo. Rim Style: Full-Rim. UPC/EAN code: 889652499994. Gucci Yellow Mirror Logo Pilot Men's Sunglasses GG1677S 005 62. <br><br>Manufacturer's Packaging Included. Packaging Size And Color May Vary.","GG1677S 005 62","1433","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/g/u/gucci-yellow-mirror-logo-pilot-mens-sunglasses-gg1677s-005-62_1.jpg?width=546&height=546","1102.46","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/g/u/gucci-yellow-mirror-logo-pilot-mens-sunglasses-gg1677s-005-62_1.jpg?width=546&height=546","manual","deny","shopify","male","USA Products","Joma Shop","Mens, Sunglasses, Gucci","Active","TRUE","https://www.jomashop.com/gucci-yellow-mirror-logo-pilot-mens-sunglasses-gg1677s-005-62.html"
"yellow_mirror_logo_pilot_men's_sunglasses","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/g/u/gucci-yellow-mirror-logo-pilot-mens-sunglasses-gg1677s-005-62_2.jpg?width=546&height=546","","","","","","","","","","","",""
"yellow_mirror_logo_pilot_men's_sunglasses","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/g/u/gucci-yellow-mirror-logo-pilot-mens-sunglasses-gg1677s-005-62_3.jpg?width=546&height=546","","","","","","","","","","","",""
"yellow_mirror_logo_pilot_men's_sunglasses","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/g/u/gucci-yellow-mirror-logo-pilot-mens-sunglasses-gg1677s-005-62_10.jpg?width=546&height=546","","","","","","","","","","","",""
"green_tuning_sport_men's_sunglasses","Prada Linea Rossa, Green Tuning Sport Men's Sunglasses","Prada Linea Rossa Sunglasses. Series number: PS 04YS. Color code: 18G06U. Shape: Sport. Lens Width: 57 mm. Lens Bridge: 18 mm. Arm Length: 140 mm. 100% UV protection. Non-Polarized. Frame Material: Plastic. Frame Color: Matte Black. Lenses Type: Green Tuning. Rim Style: Full-Rim. UPC/EAN code: 8056597780520. Prada Linea Rossa Green Tuning Sport Men's Sunglasses PS 04YS 18G06U 57. <br><br>Manufacturer's Packaging Included. Packaging Size And Color May Vary.","PS 04YS 18G06U 57","812","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/p/r/prada-linea-rossa-green-tuning-sport-mens-sunglasses-ps-04ys-18g06u-57.jpg?width=546&height=546","624.71","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/p/r/prada-linea-rossa-green-tuning-sport-mens-sunglasses-ps-04ys-18g06u-57.jpg?width=546&height=546","manual","deny","shopify","male","USA Products","Joma Shop","Mens, Sunglasses, Prada Linea Rossa","Active","TRUE","https://www.jomashop.com/prada-linea-rossa-ps-04ys-18g06u-57.html"
"green_tuning_sport_men's_sunglasses","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/p/r/prada-linea-rossa-green-tuning-sport-mens-sunglasses-ps-04ys-18g06u-57_2_full-bleed.jpg?width=546&height=546","","","","","","","","","","","",""
"green_tuning_sport_men's_sunglasses","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/p/r/prada-linea-rossa-green-tuning-sport-mens-sunglasses-ps-04ys-18g06u-57_3.jpg?width=546&height=546","","","","","","","","","","","",""
"green_tuning_sport_men's_sunglasses","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/p/r/prada-linea-rossa-green-tuning-sport-mens-sunglasses-ps-04ys-18g06u-57_4.jpg?width=546&height=546","","","","","","","","","","","",""
"green_tuning_sport_men's_sunglasses","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/p/r/prada-linea-rossa-green-tuning-sport-mens-sunglasses-ps-04ys-18g06u-57_5.jpg?width=546&height=546","","","","","","","","","","","",""
"polarized_grey_pilot_men's_sunglasses","Gucci, Polarized Grey Pilot Men's Sunglasses","Gucci Sunglasses. Series number: GG0528S. Color code: 007. Size: 63. Shape: Pilot. Lens Width: 63 mm. Lens Height: 53 mm. Lens Bridge: 16 mm. Arm Length: 140 mm. 100% UV protection. Polarized. Frame Material: Metal. Frame Color: Ruthenium. Lenses Type: Polarized Grey. Rim Style: Full-Rim. UPC/EAN code: 889652236483. Gucci Polarized Grey Pilot Men's Sunglasses GG0528S 007 63. <br><br>Manufacturer's Packaging Included. Packaging Size And Color May Vary.","GG0528S 007 63","1242","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/g/u/gucci-polarized-grey-pilot-mens-sunglasses-gg0528s-007-63.jpg?width=546&height=546","955.46","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/g/u/gucci-polarized-grey-pilot-mens-sunglasses-gg0528s-007-63.jpg?width=546&height=546","manual","deny","shopify","male","USA Products","Joma Shop","Mens, Sunglasses, Gucci","Active","TRUE","https://www.jomashop.com/gucci-sunglasses-gg0528s-007-63.html"
"polarized_grey_pilot_men's_sunglasses","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/g/u/gucci-polarized-grey-pilot-mens-sunglasses-gg0528s-007-63_2_full-bleed.jpg?width=546&height=546","","","","","","","","","","","",""
"polarized_grey_pilot_men's_sunglasses","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/g/u/gucci-polarized-grey-pilot-mens-sunglasses-gg0528s-007-63_3.jpg?width=546&height=546","","","","","","","","","","","",""
"polarized_grey_pilot_men's_sunglasses","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/g/u/gucci-polarized-grey-pilot-mens-sunglasses-gg0528s-007-63_4.jpg?width=546&height=546","","","","","","","","","","","",""
"polarized_grey_pilot_men's_sunglasses","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/g/u/gucci-polarized-grey-pilot-mens-sunglasses-gg0528s-007-63_10.jpg?width=546&height=546","","","","","","","","","","","",""
"green_square_men's_sunglasses","Montblanc, Green Square Men's Sunglasses","Montblanc Sunglasses. Series number: MB0082S. Color code: 002. Shape: Square. Lens Width: 53 mm. Lens Bridge: 17 mm. Arm Length: 150 mm. 100% UV protection. Non-Polarized. Frame Material: Acetate. Frame Color: Havana. Lenses Type: Green. Rim Style: Full-Rim. UPC/EAN code: 889652279428. Montblanc Green Square Men's Sunglasses MB0082S 002 53. <br><br>Manufacturer's Packaging Included. Packaging Size And Color May Vary.","MB0082S 002 53","764","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/m/o/montblanc-green-square-mens-sunglasses-mb0082s-002-53.jpg?width=546&height=546","587.96","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/m/o/montblanc-green-square-mens-sunglasses-mb0082s-002-53.jpg?width=546&height=546","manual","deny","shopify","male","USA Products","Joma Shop","Mens, Sunglasses, Montblanc","Active","TRUE","https://www.jomashop.com/montblanc-green-square-mens-sunglasses-mb0082s-00253.html"
"green_square_men's_sunglasses","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/m/o/montblanc-green-square-mens-sunglasses-mb0082s-002-53_2.jpg?width=546&height=546","","","","","","","","","","","",""
"green_square_men's_sunglasses","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/m/o/montblanc-green-square-mens-sunglasses-mb0082s-002-53_3.jpg?width=546&height=546","","","","","","","","","","","",""
"blue_square_men's_sunglasses_mb0006s_004_52","Montblanc, Blue Square Men's Sunglasses MB0006S 004 52","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/m/o/montblanc-blue-square-mens-sunglasses-mb0006s-004-52.jpg?width=546&height=546","0.00","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/m/o/montblanc-blue-square-mens-sunglasses-mb0006s-004-52.jpg?width=546&height=546","manual","deny","shopify","male","USA Products","Joma Shop","Mens","Active","TRUE","https://www.jomashop.com/montblanc-blue-square-mens-sunglasses-mb0006s-00452.html"
