Handle,Title,Body (HTML),Variant SKU,Variant Price,Image Src,Cost per item,Variant Image,Variant Fulfillment Service,Variant Inventory Policy,Variant Inventory Tracker,Google Shopping / Gender,Type,Vendor,Tags,Status,Published,product.metafields.custom.original_prodect_url
"baume_and_mercier_clifton_automatic_silver_dial_two-tone_men's_watch_10140","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/b/a/baume-and-mercier-clifton-automatic-silver-dial-twotone-mens-watch-10140-a10140_2.jpg?width=546&height=546","","","","","","","","","","","",""
"baume_and_mercier_clifton_automatic_silver_dial_two-tone_men's_watch_10140","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/b/a/baume-and-mercier-clifton-automatic-silver-dial-twotone-mens-watch-10140-a10140_3.jpg?width=546&height=546","","","","","","","","","","","",""
"bold_tr90_quartz_red_museum_dial_men's_watch","Movado, Bold TR90 Quartz Red Museum Dial Men's Watch","Black tr90 composite and stainless steel case with a black leather strap. Fixed black tr90 composite and stainless steel bezel. Red museum dial with black hands. No markers. Movado dot appears at the 12 o'clock position. Dial Type: Analog. Quartz movement. Scratch resistant sapphire crystal. Pull / push crown. Solid case back. Round case shape, case size: 42 mm. Tang clasp. Water resistant at 30 meters / 100 feet. Functions: hour, minute. Bold Tr90 Series. Casual watch style. Watch label: Swiss Made. Movado Bold TR90 Quartz Red Museum Dial Men's Watch 3600762.","3600762","974","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/m/o/movado-bold-tr90-quartz-red-museum-dial-mens-watch-3600762.jpg?width=546&height=546","749.70","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/m/o/movado-bold-tr90-quartz-red-museum-dial-mens-watch-3600762.jpg?width=546&height=546","manual","deny","shopify","male","USA Products","Joma Shop","Mens, Watches, Movado, Bold Tr90","Active","TRUE","https://www.jomashop.com/movado-bold-tr90-quartz-red-museum-dial-mens-watch-3600762.html"
"bold_tr90_quartz_red_museum_dial_men's_watch","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/m/o/movado-bold-tr90-quartz-red-museum-dial-mens-watch-3600762_2.jpg?width=546&height=546","","","","","","","","","","","",""
"bold_tr90_quartz_red_museum_dial_men's_watch","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/m/o/movado-bold-tr90-quartz-red-museum-dial-mens-watch-3600762_3.jpg?width=546&height=546","","","","","","","","","","","",""
"elegant_automatic_white_dial_men's_watch","Longines, Elegant Automatic White Dial Men's Watch","Stainless steel case with a stainless steel bracelet with 18kt rose gold links. Fixed 18kt rose gold bezel. White dial with black hands and Roman numeral hour markers. Minute markers around the outer rim. Dial Type: Analog. Date display at the 3 o'clock position. Longines calibre L619/888 automatic movement with a 42-hour power reserve. Scratch resistant sapphire crystal. Pull / push crown. Transparent case back. Round case shape. Case size: 39 mm. Case thickness: 8.5 mm. Band width: 20 mm. Deployment clasp. Water resistant at 30 meters / 100 feet. Functions: date, hour, minute, second. Luxury watch style. Watch label: Swiss Made. Longines Elegant Automatic White Dial Men's Watch L4.910.5.11.7.","L4.910.5.11.7","6927","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/l/o/longines-elegant-white-dial-steel-and-18k-rose-gold-automatic-ladies-watch-l4.910.5.11.7.jpg?width=546&height=546","5328.75","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/l/o/longines-elegant-white-dial-steel-and-18k-rose-gold-automatic-ladies-watch-l4.910.5.11.7.jpg?width=546&height=546","manual","deny","shopify","male","USA Products","Joma Shop","Mens, Watches, Longines, Elegant","Active","TRUE","https://www.jomashop.com/longines-watch-l4-910-5-11-7.html"
"elegant_automatic_white_dial_men's_watch","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/l/o/longines-elegant-white-dial-steel-and-18k-rose-gold-automatic-ladies-watch-l4.910.5.11.7_2.jpg?width=546&height=546","","","","","","","","","","","",""
"elegant_automatic_white_dial_men's_watch","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/l/o/longines-elegant-white-dial-steel-and-18k-rose-gold-automatic-ladies-watch-l4.910.5.11.7_3.jpg?width=546&height=546","","","","","","","","","","","",""
"bold_quartz_silver_dial_stainless_steel_mesh_men's_watch","Movado, Bold Quartz Silver Dial Stainless Steel Mesh Men's Watch","Stainless steel case with a stainless steel mesh bracelet. Fixed stainless steel bezel. Silver dial with silver-tone hands. No markers. The Movado dot appears at the 12 o'clock position. Dial Type: Analog. Quartz movement. Scratch resistant K1 mineral crystal. Pull / push crown. Solid case back. Round case shape. Case size: 42 mm. Case thickness: 6.7 mm. Band width: 21 mm. Fold over slide through clasp. Water resistant at 30 meters / 100 feet. Functions: hour, minute. Dress watch style. Watch label: Swiss Movt. Movado Bold Quartz Silver Dial Stainless Steel Mesh Men's Watch 3600589.","3600589","1189","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/m/o/movado-bold-quartz-silver-dial-men_s-watch-3600589.jpg?width=546&height=546","915.07","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/m/o/movado-bold-quartz-silver-dial-men_s-watch-3600589.jpg?width=546&height=546","manual","deny","shopify","male","USA Products","Joma Shop","Mens","Active","TRUE","https://www.jomashop.com/movado-bold-watch-3600589.html"
"bold_quartz_silver_dial_stainless_steel_mesh_men's_watch","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/m/o/movado-bold-quartz-silver-dial-men_s-watch-3600589_2.jpg?width=546&height=546","","","","","","","","","","","",""
