Handle,Title,Body (HTML),Variant SKU,Variant Price,Image Src,Cost per item,Variant Image,Variant Fulfillment Service,Variant Inventory Policy,Variant Inventory Tracker,Google Shopping / Gender,Type,Vendor,Tags,Status,Published,product.metafields.custom.original_prodect_url
"blue_square_men's_sunglasses","Montblanc, Blue Square Men's Sunglasses","Montblanc Sunglasses. Series number: MB0006S. Color code: 004. Shape: Square. Lens Width: 52 mm. Lens Bridge: 20 mm. Arm Length: 150 mm. 100% UV protection. Frame Material: Acetate. Frame Color: Yellow. Lenses Type: Blue. Rim Style: Full-Rim. UPC/EAN code: 889652209463. Montblanc Blue Square Men's Sunglasses MB0006S 004 52. <br><br>Manufacturer's Packaging Included. Packaging Size And Color May Vary.","MB0006S 004 52","764","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/m/o/montblanc-blue-square-mens-sunglasses-mb0006s-004-52.jpg?width=546&height=546","587.96","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/m/o/montblanc-blue-square-mens-sunglasses-mb0006s-004-52.jpg?width=546&height=546","manual","deny","shopify","male","USA Products","Joma Shop","Mens, Sunglasses, Montblanc","Active","TRUE","https://www.jomashop.com/montblanc-blue-square-mens-sunglasses-mb0006s-00452.html"
"blue_square_men's_sunglasses","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/m/o/montblanc-blue-square-mens-sunglasses-mb0006s-004-52_2_full-bleed.jpg?width=546&height=546","","","","","","","","","","","",""
"blue_square_men's_sunglasses","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/m/o/montblanc-blue-square-mens-sunglasses-mb0006s-004-52_3.jpg?width=546&height=546","","","","","","","","","","","",""
"blue_square_men's_sunglasses","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/m/o/montblanc-blue-square-mens-sunglasses-mb0006s-004-52_4.jpg?width=546&height=546","","","","","","","","","","","",""
"brown_browline_men's_sunglasses","Gucci, Brown Browline Men's Sunglasses","Gucci Sunglasses. Series number: GG1888S. Color code: 002. Shape: Browline. Lens Width: 50 mm. Lens Bridge: 18 mm. Arm Length: 140 mm. 100% UV protection. Non-Polarized. Frame Material: Recycled Acetate. Frame Color: Havana. Lenses Type: Brown. Rim Style: Full-Rim. UPC/EAN code: 889652529349. Gucci Brown Browline Men's Sunglasses GG1888S 002 50. <br><br>Manufacturer's Packaging Included. Packaging Size And Color May Vary.","GG1888S 002 50","1433","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/g/u/gucci-brown-browline-mens-sunglasses-gg1888s-002-50_1.jpg?width=546&height=546","1102.46","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/g/u/gucci-brown-browline-mens-sunglasses-gg1888s-002-50_1.jpg?width=546&height=546","manual","deny","shopify","male","USA Products","Joma Shop","Mens, Sunglasses, Gucci","Active","TRUE","https://www.jomashop.com/gucci-brown-browline-mens-sunglasses-gg1888s-002-50.html"
"brown_browline_men's_sunglasses","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/g/u/gucci-brown-browline-mens-sunglasses-gg1888s-002-50_2.jpg?width=546&height=546","","","","","","","","","","","",""
"brown_browline_men's_sunglasses","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/g/u/gucci-brown-browline-mens-sunglasses-gg1888s-002-50_3.jpg?width=546&height=546","","","","","","","","","","","",""
"brown_browline_men's_sunglasses","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/g/u/gucci-brown-browline-mens-sunglasses-gg1888s-002-50_10.jpg?width=546&height=546","","","","","","","","","","","",""
